utterance,intent
help me see the cancellation fees,check_policy
can u ask an agent about the cancellation penalties?,check_policy
"I want to see the cancellation fee, what can I do?",check_policy
information about the cancellation penalties,check_policy
"could you ask an agent where to see the fucking cancellation penalties, please?",check_policy
help me view the cancellation penalty,check_policy
can you find information about the cancellation penalty?,check_policy
where do I view the cancellation penalty?,check_policy
can u ask an agent if i can see the cancellation fees?,check_policy
can u ask an agent for information about the cancellation fee?,check_policy
"could you ask an agent if I can view the cancellation penalty, please?",check_policy
help me check hte cancellation penalty,check_policy
"I'd like to check cancellation penalties, what can I do?",check_policy
"I want to check the cancellation penalty, what do I have to do?",check_policy
i wanna view the cancellation penalties,check_policy
ask an agent for information about the cancellation penalties,check_policy
can you tell me about the cancellation penalties?,check_policy
I need informatoin about the cancellation penalty,check_policy
where to view the cancellation fees,check_policy
can you show me information about the cancellation penalties?,check_policy
how to hceck the cancellation fees,check_policy
how do I view the cancellation fee?,check_policy
can I check the cancellation fees?,check_policy
can u ask an agent to show me information about the cancellation penalties?,check_policy
"ask an agent to show me the fucking cancellation fees, please",check_policy
"I want to ssee the cancellation fee, what do I have to do?",check_policy
information about the cancellation fees,check_policy
help me view the  cancelation penalties,check_policy
where can I view the cancellation fee?,check_policy
can u ask an agent where i can view the cancellation fees?,check_policy
"please, could you ask an agent if I could see the fucking cancellation fee?",check_policy
"i want to view cancellation penalties, what can i do?",check_policy
how do I see the cancellation penalty?,check_policy
where can I view the cacnellatio fees?,check_policy
"i want to check the cancellation fee, can u help me?",check_policy
could you ask an agent if I can view the cancellation penalty?,check_policy
where do I check the cancellation fee?,check_policy
I want to see the cancellation fee,check_policy
check the cancellation penalties,check_policy
can you show me information about the cancellation fee?,check_policy
where can i view the cancellation penalties?,check_policy
"I want to see cancellation penalties, what should I do?",check_policy
"please, could you ask an agent if I can check the cancellation fees?",check_policy
where to see the cancellation penalties,check_policy
can I see the cancellation fee?,check_policy
can i view the cancellation penalty?,check_policy
where do i check the cancellation penalties?,check_policy
where do I view the cancellation fee?,check_policy
can I check the cancellation penalty?,check_policy
can you show me information about the cancellation fees?,check_policy
can you check the cancellation fees?,check_policy
"I want t view the cancellation penalty,can you help me?",check_policy
ask an agent about the cancellation penalties,check_policy
I want to view the cancellation fee,check_policy
can you tell me about the cancellation fees?,check_policy
"please , ask an agent whyere to see the cancellation fee",check_policy
"I need help checking the cancellation fee, please",check_policy
how do I check the cancellation penalties?,check_policy
can I see the cancellation fees?,check_policy
"can u ask an agent for information about the cancellation fees, please?",check_policy
can u ask an agent how to check the cancellation penalty?,check_policy
how do i see the fucking cancellation fees?,check_policy
could I view the fucking cancellatyion fee?,check_policy
I need help checking the cancellation penalty,check_policy
can u ask an agent how to see the cancellation penalty?,check_policy
where to see the cancellation penalty,check_policy
"id like to check the cancellation penalty, what do i have to do?",check_policy
can you tell me about the cancellation penalty?,check_policy
where could i check the cancellation fee?,check_policy
"I want to check the cancellation fee, can you help me?",check_policy
"I want to see cancellation penalties, can you help me?",check_policy
where can I check the cancellation penalty?,check_policy
"I want to view the cancellation fee, what do I have to do?",check_policy
where do i view the cancelltion fees?,check_policy
"I want to view the cancellation fee, can you help me?",check_policy
"I want to see cancellation fees, can you help me?",check_policy
I need help viewing hte cancellation fees,check_policy
how can I see the cancellation  penalty ?,check_policy
ask an agent what the cancellation fee is,check_policy
"I want to see cancellation penalties, what can I do?",check_policy
"i wanna check cancellation fees, can u help me?",check_policy
could youask an agent what's the cancellation penalty?,check_policy
"I want to check the cancellation fee, what do I have to do?",check_policy
