utterance,intent
help me see the fees,check_policy
can u an agent about the cancellation penalties?,check_policy
"I want see the cancellation fee, what can I do?",check_policy
about the cancellation penalties,check_policy
"could you ask an agent where see the fucking cancellation penalties, please?",check_policy
me view the cancellation penalty,check_policy
can you information about the cancellation penalty?,check_policy
where I view the cancellation penalty?,check_policy
can u ask an agent i can see cancellation fees?,check_policy
can u ask an for information about the cancellation fee?,check_policy
could you ask an agent if I can view the cancellation please?,check_policy
help check hte cancellation penalty,check_policy
"I'd like to check cancellation penalties, what can do?",check_policy
"want to check the cancellation penalty, what do I have do?",check_policy
i view the cancellation penalties,check_policy
ask an agent for information about cancellation penalties,check_policy
can you me about the cancellation penalties?,check_policy
I need informatoin about the penalty,check_policy
where to view cancellation fees,check_policy
you show me information about the cancellation penalties?,check_policy
how to hceck cancellation fees,check_policy
how do I view the fee?,check_policy
I check the cancellation fees?,check_policy
can u ask an agent to show me information the cancellation penalties?,check_policy
"ask an agent to show me the cancellation fees, please",check_policy
"I want to ssee the cancellation fee, what do I to do?",check_policy
information the cancellation fees,check_policy
me view the cancelation penalties,check_policy
where can view the cancellation fee?,check_policy
can u ask an agent where i can the cancellation fees?,check_policy
"please, could you ask an agent if I could see the cancellation fee?",check_policy
"i want to view penalties, what can i do?",check_policy
how do see the cancellation penalty?,check_policy
can I view the cacnellatio fees?,check_policy
"i want to check the cancellation fee, can u help",check_policy
could you ask agent if I can view the penalty?,check_policy
where do I check cancellation fee?,check_policy
I want to see the cancellation,check_policy
the cancellation penalties,check_policy
can you show me information about the cancellation,check_policy
where can i view the penalties?,check_policy
"I want to cancellation penalties, what should I do?",check_policy
"please, could ask an agent if I can check cancellation fees?",check_policy
to see the cancellation penalties,check_policy
can I the cancellation fee?,check_policy
can i the cancellation penalty?,check_policy
where do i check the cancellation,check_policy
where do I view the cancellation,check_policy
can I the cancellation penalty?,check_policy
can you show me information about the fees?,check_policy
can you check cancellation fees?,check_policy
"I want view the cancellation penalty,can you help me?",check_policy
ask an about the cancellation penalties,check_policy
I want to view the fee,check_policy
you tell me about the cancellation fees?,check_policy
"please , ask an agent whyere see the fee",check_policy
"I need help checking the cancellation fee,",check_policy
how do I check the cancellation,check_policy
can I see the cancellation,check_policy
can u ask an agent for information about the cancellation please?,check_policy
can u ask an how to check the cancellation penalty?,check_policy
how i see the fucking cancellation fees?,check_policy
could view the fucking cancellatyion fee?,check_policy
I help checking the cancellation penalty,check_policy
can u ask an agent how to see the cancellation,check_policy
where see the cancellation penalty,check_policy
id like to check the cancellation what do i to do?,check_policy
can you tell me about cancellation penalty?,check_policy
where could i check the cancellation,check_policy
"I want to check the cancellation fee, can help me?",check_policy
"I want to see penalties, can you help me?",check_policy
where can check the cancellation penalty?,check_policy
"I want to view the fee, what do I to do?",check_policy
where do i the cancelltion fees?,check_policy
"I want to view the cancellation fee, can you me?",check_policy
"I want to cancellation fees, can you help me?",check_policy
I need viewing hte cancellation fees,check_policy
how can I the cancellation penalty ?,check_policy
ask an agent the cancellation fee is,check_policy
"I want to see penalties, what can I do?",check_policy
"i wanna check cancellation fees, can u me?",check_policy
could youask an agent what's the cancellation,check_policy
"I check the cancellation fee, what do I have to do?",check_policy
"i want to check cancellation fees, should i do?",check_policy
how can I the cancellation penalties?,check_policy
I need help viewing the cancellation,check_policy
"I want to cancellation fees, what can I do?",check_policy
to view the cancellation fee,check_policy
can I check the cancellation penalty?,check_policy
check the cancellation,check_policy
to check the cancellation penalty,check_policy
"I want to see the penalty, can you help me?",check_policy
hows can see the cancellation fees?,check_policy
ask an if i can check the cancellation penalty,check_policy
"i want to view cancellation penalties, do i have to do?",check_policy
"I want to view the fee, what should do?",check_policy
can i check the cancellation,check_policy
show me the cancellation,check_policy
can you check the penalties?,check_policy
"could u ask an agent how to the cacnellation penalties, please?",check_policy
"wanna see cancellation penalties, can u help me?",check_policy
could u ask an to show me information about the fucking cancellation penalties?,check_policy
where do I the cancellation penalties?,check_policy
how do view the cancellation penalty?,check_policy
"I want to check the cancellation penalty , can help me?",check_policy
ask an agent to give me about the cancellation,check_policy
where can I see cancellation penalties?,check_policy
"I want to view fees, can you help me?",check_policy
"I want to view the cancellation penalty, should I do?",check_policy
can I check the cancellation fee?,check_policy
help me the cancellation fee,check_policy
can I see cancellation penalties?,check_policy
where i view the cancellation fees?,check_policy
"can u find information about xancrllation fee, please?",check_policy
check cancellation penalty,check_policy
ask an agent the cancellation fee,check_policy
can you find information the cancelation fees?,check_policy
where do I see the cancellation,check_policy
I help checking the cancellation fees,check_policy
where to see the cancellation,check_policy
help me see the cancellation,check_policy
I to see the cancellation fees,check_policy
can check the cancellation penalties?,check_policy
"I want to view cancellation penalties, what I have to do?",check_policy
ask an agent about the fucking cancellation please,check_policy
"i wannacheck cancellation fees, should i do ?",check_policy
I want to check cancellation can you help me?,check_policy
how to view the cancellaton,check_policy
need help seeing the cancellation penalty,check_policy
can I the cancellation penalty?,check_policy
can u ask agent about the cancellation fee?,check_policy
an agent to check the cancellation penalty,check_policy
where can see the cancellation penalty?,check_policy
"I want to cancellation penalties, can you help me?",check_policy
can I view the cancellation penalties ?,check_policy
how view the cancellation fee,check_policy
how to the cancellation fees,check_policy
how to the cancellation fee,check_policy
"please, could you tell me about the cancellation",check_policy
where do see the cancellation fee?,check_policy
do I see the cancellation penalty?,check_policy
where to check the cancellation,check_policy
how can I check the fees?,check_policy
ask an agent how check the cancellation fee,check_policy
"i want to view the cancellation penalty, what should i",check_policy
i wanna view cancellation what can i do?,check_policy
do I check the cancellation fees?,check_policy
"i want see cancellation fees, can u help me?",check_policy
I need help seeing the cancellation,check_policy
i want to view cancellation what should i do?,check_policy
where Icheck hte cancellation penalty?,check_policy
help me check the cancellation,check_policy
where I see the fucking cancellation fee?,check_policy
"wanna check cancellation penalties, what do i have to do?",check_policy
help me check the cancellation,check_policy
me see the cancellation penalty,check_policy
how do I see the penalties?,check_policy
could u ask an agent i can viewthe cancellation fee?,check_policy
ask an agent where i check the cancellation fee,check_policy
"ask an agent if I can the cancellation penalty, please",check_policy
